iter	MultiClass
0	1.312987221
1	1.250774614
2	1.196785523
3	1.149923644
4	1.108252002
5	1.071250661
6	1.037806858
7	1.007813835
8	0.9804085287
9	0.9554757997
10	0.9328254276
11	0.9116797808
12	0.8923759385
13	0.8746723598
14	0.8584276181
15	0.8431606353
16	0.8286492935
17	0.815465925
18	0.8034538967
19	0.7921511205
20	0.7816649146
21	0.771278983
22	0.7620956878
23	0.7530835185
24	0.7442361521
25	0.7362806535
26	0.7291840702
27	0.7218423205
28	0.7151294408
29	0.7086887908
30	0.7026589924
31	0.6973102177
32	0.692289913
33	0.6869474245
34	0.6821634313
35	0.6778705564
36	0.6732928482
37	0.6690902784
38	0.6647168108
39	0.6610799776
40	0.6571774741
41	0.6535088925
42	0.6502994349
43	0.6474233425
44	0.6445723484
45	0.6417061283
46	0.6385365514
47	0.6355648668
48	0.6325723365
49	0.6297231855
50	0.6277771279
51	0.6257526186
52	0.6235256602
53	0.6214704248
54	0.6193090429
55	0.6174004489
56	0.6156943393
57	0.6134964577
58	0.6121855524
59	0.6099807741
60	0.6080932544
61	0.6058858064
62	0.6045258867
63	0.603183322
64	0.6016333246
65	0.6002182371
66	0.5985826355
67	0.5968937647
68	0.595597866
69	0.5939844546
70	0.5929060315
71	0.5915440442
72	0.5900129315
73	0.5889628382
74	0.5880839302
75	0.586502383
76	0.5850894856
77	0.5837399321
78	0.5825690115
79	0.5816376985
80	0.5801222786
81	0.5791223227
82	0.5778987949
83	0.5767237585
84	0.5754306022
85	0.57423797
86	0.5731990944
87	0.5719923881
88	0.5712671251
89	0.5702249111
90	0.5697182032
91	0.5689070582
92	0.5678918557
93	0.5672850399
94	0.5663438233
95	0.5652701883
96	0.5643091842
97	0.5632740941
98	0.5623162711
99	0.5617567836
100	0.5608569979
101	0.5601383007
102	0.5593472023
103	0.5587641013
104	0.5579748879
105	0.5572072407
106	0.556640539
107	0.5556905263
108	0.5552863597
109	0.5545576682
110	0.5536389954
111	0.5526915878
112	0.5520516886
113	0.5515905086
114	0.5511379005
115	0.5504976947
116	0.5496666537
117	0.548941224
118	0.5481813478
119	0.5474931602
120	0.5470435591
121	0.546291249
122	0.545219298
123	0.5447476869
124	0.5441702212
125	0.5432376933
126	0.5427687925
127	0.5422422484
128	0.5416410532
129	0.5412979561
130	0.5406974353
131	0.5400898293
132	0.5395681756
133	0.5390726614
134	0.5387499614
135	0.538270121
136	0.5379945854
137	0.5376357741
